ParticipantID,Gender,Age,CharacterIdentity,Scenario,AgePair_AH_Position,Stage1_OlderChoice,Stage1_AH_SelectedOlder,Stage2_ComparisonOrder,HumanPair_Order,Stage2_Human_MoreArtifactsChoice,Stage2_Human_FinalMoreArtifacts,TTSPair_Order,Stage2_TTS_MoreArtifactsChoice,Stage2_TTS_FinalMoreArtifacts,Intelligibility_Scenario,Intelligibility_SpeechFidelity,Intelligibility_S01_Correct,Intelligibility_S01_Total,Intelligibility_S02_Correct,Intelligibility_S02_Total,Intelligibility_S03_Correct,Intelligibility_S03_Total,Intelligibility_S04_Correct,Intelligibility_S04_Total,Intelligibility_S05_Correct,Intelligibility_S05_Total,Intelligibility_S06_Correct,Intelligibility_S06_Total,Intelligibility_S07_Correct,Intelligibility_S07_Total,Intelligibility_S08_Correct,Intelligibility_S08_Total,Intelligibility_S09_Correct,Intelligibility_S09_Total,Intelligibility_S10_Correct,Intelligibility_S10_Total,Intelligibility_TotalCorrect,Intelligibility_TotalWords,Intelligibility_Accuracy,Stage3_Order,Stage3_Order_Detail,LipSync_AHSH,Gesture_AHSH,LipSync_AHSL,Gesture_AHSL,LipSync_ALSH,Gesture_ALSH,LipSync_ALSL,Gesture_ALSL
EX001,Male,23,M2,BC,Right,AL,0,HumanFirst,FinalFirst,Final,1,OriginalFirst,Original,0,UC,SL,9,9,11,12,10,10,7,7,10,12,11,12,,,,,,,,,58,62,0.935484,S3,ALSH > ALSL > AHSL > AHSH,2,3,4,3,3,3,3,3
EX002,Male,24,F1,UC,Left,AL,0,TTSFirst,OriginalFirst,Original,0,OriginalFirst,Original,0,BC,SL,10,11,11,13,9,12,11,11,7,7,9,9,10,11,13,13,11,11,7,7,98,105,0.933333,S4,ALSL > AHSH > ALSH > AHSL,5,5,5,5,4,5,4,5
EX003,Female,25,M2,BC,Left,AL,0,HumanFirst,FinalFirst,Final,1,FinalFirst,Final,1,UC,SH,7,9,12,12,6,10,6,7,11,12,11,12,,,,,,,,,53,62,0.854839,S2,AHSL > ALSH > AHSH > ALSL,4,4,4,4,4,5,5,5
EX004,Female,26,M2,UC,Right,AH,1,HumanFirst,OriginalFirst,Original,0,OriginalFirst,Final,1,BC,SH,11,11,12,13,11,12,11,11,7,7,9,9,10,11,13,13,11,11,6,7,101,105,0.961905,S4,ALSL > AHSH > ALSH > AHSL,5,3,4,3,5,4,4,3
EX005,Female,25,M2,BC,Left,AL,0,HumanFirst,OriginalFirst,Original,0,OriginalFirst,Original,0,UC,SL,8,9,10,12,9,10,7,7,11,12,12,12,,,,,,,,,57,62,0.919355,S4,ALSL > AHSH > ALSH > AHSL,3,3,2,4,3,4,3,3
EX006,Male,23,F2,UC,Right,AL,0,TTSFirst,FinalFirst,Final,1,FinalFirst,Final,1,BC,SL,11,11,12,13,9,12,9,11,7,7,9,9,11,11,12,13,11,11,7,7,98,105,0.933333,S3,ALSH > ALSL > AHSL > AHSH,5,5,5,4,6,4,4,5
EX007,Female,24,F2,BC,Right,AL,0,TTSFirst,OriginalFirst,Final,1,OriginalFirst,Original,0,UC,SH,9,9,12,12,10,10,7,7,12,12,11,12,,,,,,,,,61,62,0.983871,S3,ALSH > ALSL > AHSL > AHSH,6,5,5,4,5,5,5,5
EX008,Male,24,M2,BC,Right,AH,1,TTSFirst,OriginalFirst,Original,0,FinalFirst,Original,0,UC,SH,9,9,12,12,10,10,7,7,10,12,12,12,,,,,,,,,60,62,0.967742,S4,ALSL > AHSH > ALSH > AHSL,4,5,3,5,4,5,4,5
EX009,Male,27,M1,UC,Right,AH,1,HumanFirst,FinalFirst,Final,1,FinalFirst,Final,1,BC,SH,10,11,13,13,12,12,10,11,7,7,6,9,10,11,13,13,11,11,7,7,99,105,0.942857,S4,ALSL > AHSH > ALSH > AHSL,3,3,4,4,4,3,3,2
EX010,Male,27,F2,BC,Left,AL,0,HumanFirst,FinalFirst,Final,1,OriginalFirst,Final,1,UC,SH,8,9,11,12,10,10,7,7,12,12,12,12,,,,,,,,,60,62,0.967742,S3,ALSH > ALSL > AHSL > AHSH,5,3,4,2,4,3,2,3
EX011,Female,26,F1,UC,Right,AH,1,HumanFirst,OriginalFirst,Original,0,OriginalFirst,Original,0,BC,SH,10,11,12,13,12,12,11,11,7,7,9,9,10,11,12,13,11,11,7,7,101,105,0.961905,S3,ALSH > ALSL > AHSL > AHSH,4,5,4,5,5,5,4,4
